25501,536,1128908,70335,2502071,43816,80512,1639,5114221,9068,17375656,8616,17791,182,27826,4699,16746,1546,229980,89889,75052,41979,38374,10111,199702,2362,652746,3179,3508320,2025,2528151,1571,2038678,702,5882,4516,1141,109,4710,49,1054,6,507,27,2123,37,858,34,5506,39,1087,35,4429,34,1793,5,2945,11,13195,327,2454,236,7192,106,10264,212,2677,95,5500,857,2880,151,631598,11346,1196727,8065,89384,736,1089,8,17892,129,68271,14,26796,120,5294,8,11740,48,390,296,165,144,2382,145,167,46,239,122,110,51,228,202,431,123,83,18,405,51,37,6,37,34,14,47,3644,19,4726,52,45563,513,39052,529,6308,129,9880,152,2121,11,37793,375,10638,81,181,6,151,5,500,8,24992,364,3925,60,1598,35,2641,5833,27095,23874,10613,7632,19269,615,255,4,676,16,1202,16,102,4,6,0,78,125
558,28273,83896,976556,45900,2457301,511,202542,10050,3395857,8616,13118650,58,59747,4948,25554,947,13055,88535,281242,27714,115760,9789,60891,3856,157685,2662,819317,2601,2582593,3666,1512119,1808,1230083,1601,9817,157,387,58,5309,18,870,5,6943,169,1507,78,669,59,3765,36,1026,44,2872,7,1036,7,2534,325,20618,218,3018,129,17159,92,51197,34,10574,1175,2898,324,1213,12841,974913,7458,1838048,757,85089,6,2743,78,37096,105,6160,88,34964,27,3623,55,11284,207,317,98,178,230,758,110,60,99,225,77,55,113,226,89,274,42,20,597,198,50,7,25,35,26,30,37,1881,71,2291,575,30762,645,19889,112,3935,135,6312,15,470,383,23633,130,5310,1,186,5,96,9,215,381,16441,64,2619,39,905,2453,10087,12996,41533,2776,16086,1322,22217,8,141,13,652,10,1282,2,112,2,10,31,70
1499642,18348,499409,24870,205164,12891,2564093,2960,320821,1310,17791,58,25654910,1870,366453,49570,27,1,15053,3194,188,52,82,9,143,3,209,4,2291,3,2233,4,6815672,355,8714,10026,2696,698,15174,244,2166,39,828,14,2157,150,3560,345,2237,98,6074,339,22533,451,3782,17,7134,64,5968423,19667,108307,6427,632356,1747,3117177,3894,42746,813,86078,18431,91661,9122,39315,1831,567145,4196,54637,571,875972,274,2696865,2372,285920,59,392920,1084,5939,24,127134,444,499,125,204,65,2309,66,466,30,305,51,168,21,322,107,315,46,127,20,149,109,39,8,18,22,6,9,109,5,1493,47,2344,116,18851,1024,33135,946,5094,237,82,2,2120,150,924,39,535,39,2692,55,1911,83,12647,875,4051,173,5174,176,10,9,104,205,3362,1946,49,4,29,1,185,16,399,28,33,1,2,0,15,23
31259,2089392,38527,777167,21975,359830,3969,2535720,4434,395191,182,59747,1870,36949204,82460,538312,15,54,10049,49845,146,895,43,233,14,321,10,1484,23,5867,53,4506,2162,4553067,12058,37633,638,1575,830,4180,103,742,28,1143,325,1214,545,2747,128,1822,356,5913,820,17285,67,1050,101,5183,24713,4709966,11021,113922,5467,563118,4303,5085206,581,133498,38034,61962,28131,60927,3099,56276,6095,2639160,1108,121653,303,367048,2542,1271227,189,11209,1527,239703,35,4192,622,65824,248,934,98,486,294,1542,133,224,133,446,76,171,155,815,111,462,84,112,801,611,158,27,63,48,57,33,18,65,223,806,402,3261,2081,35077,2200,39095,469,9823,11,56,307,3906,147,858,32,1008,134,1836,99,1973,1458,12643,389,4119,549,3053,20,35,328,1231,2818,8202,9,145,4,67,28,806,22,1648,1,52,1,6,26,65
2615123,1014077,6397682,2230380,1275648,1266264,1151698,288414,987053,154327,27826,4948,366453,82460,43638070,4937156,714,163,3844594,459040,9602,3524,2501,683,645,179,699,328,2992,310,3930,407,469343,18531,4946976,991639,73209,4974,91923,2058,8683,641,494,138,27050,1082,26280,1729,16608,1857,10568,3219,32016,10548,2627,412,4625,2077,397582,105607,269342,29647,74939,29417,37136,22859,23516,28815,1643292,91540,4316448,77810,811993,137173,1572122,216597,331106,32182,2668,708,37426,9950,33004,387,75785,31241,1044,311,30185,13793,3602,2821,2175,1424,23991,2128,2587,479,2081,1149,1538,476,2832,2161,4957,1398,1089,265,4877,1163,641,145,396,491,218,396,1756,189,24913,2207,107051,12892,407175,68472,113553,20836,86640,14724,2772,164,62626,10044,26832,2819,1026,247,2320,267,3523,722,124553,21621,28079,5320,25244,4397,1158,545,27730,18057,796172,382018,910,129,864,102,5617,1056,9293,1841,653,91,50,17,525,843
1467839,2748965,1609651,8293146,884785,1273434,165189,1337332,182735,642503,4699,25554,49570,538312,4937156,72591948,242,392,407259,3310958,2248,12639,648,1741,211,380,190,1027,462,1797,821,1946,56613,126202,781049,9970833,7952,31271,12240,12566,1077,4631,113,401,2955,6147,3735,9925,1803,12906,2880,13539,15133,29084,1452,1087,2064,3724,274269,761696,51327,249073,41791,70124,13419,95814,14877,61830,238513,988017,934864,3522052,90331,860719,188442,1584554,39284,280868,806,3534,9238,42419,4377,1229,23588,80126,255,996,10543,25377,2743,6208,1263,4082,6131,13071,1523,1269,1473,2727,1011,1168,1710,5932,1767,5217,758,660,13375,5738,1276,261,662,846,582,770,255,1105,3769,13950,13355,80515,59727,432247,21588,185627,12413,106345,336,1304,9091,55485,3980,14188,207,1914,546,2746,636,4724,19935,127996,4687,33124,4615,28419,383,1206,6098,77961,207197,600594,222,757,182,891,742,10269,1051,18470,80,847,19,180,629,1050
77,24,30511,6374,15671,2687,85,61,1022,338,16746,947,27,15,714,242,4858600,65488,94490,14305,427259,49791,1483822,37673,178451,4260,30264,1362,109523,1134,2550,158,54455,196,34324,526,7597,42,653,20,2974,22,1926,54,2234,16,1378,13,1864,12,203,12,718,12,322,0,669,0,112,50,308,67,171,5,108,13,176,5,17814,246,261,14,99815,6501,45728,1721,575,70,4,0,248,13,2613,54,1700,27,2289,25,1578,9,22,0,0,0,9,1,11,0,21,0,0,1,1,2,2,0,0,0,3,0,2,0,0,0,0,0,20,1,17,2,126,18,138,21,29,10,52,12,3,0,159,24,46,4,17,1,8,0,33,1,186,29,23,8,11,2,1033454,24090,226257,4610,189846,2560,1419811,11777,1,0,1,2,5,1,0,0,0,0,0,0
11,65,12825,18107,3735,14516,23,125,264,724,1546,13055,1,54,163,392,65488,6305790,27892,55440,75638,857914,108612,2268455,24951,285242,4142,29345,7297,94026,633,1185,1536,90336,1307,10850,303,982,24,944,68,5479,11,16508,108,353,51,119,89,892,12,167,27,327,11,197,13,709,14,85,21,88,10,56,5,110,9,180,781,3042,18,55,93128,64563,2332,61591,106,772,1,7,11,524,64,23391,39,2889,61,6284,42,1756,2,2,1,0,4,3,0,1,0,14,0,0,1,2,0,0,0,0,2,0,6,0,1,0,0,0,2,14,2,4,21,85,26,72,4,12,6,22,0,1,26,118,10,16,1,17,0,2,1,11,19,125,3,9,2,5,29767,1141787,19325,99833,5055,123368,76716,1130141,0,0,2,3,2,5,0,0,0,1,0,0
47919,21030,12693769,1800321,1677334,1439529,189607,131464,1099899,378439,229980,88535,15053,10049,3844594,407259,94490,27892,67681836,2560694,3089356,473543,505162,111756,60681,23759,30248,29428,84202,15936,73393,14219,370686,16738,1816944,388215,185547,2505,11059,973,14169,287,367,276,54616,494,37515,389,30250,836,2323,431,4860,1224,973,77,2964,351,19408,7113,14283,3022,9652,5359,8675,8068,3386,4271,585612,17902,28880,2225,1153376,283184,1301204,230549,148047,24999,817,279,13930,4268,5020,185,20183,6842,1629,118,8572,2549,1009,1203,644,571,6747,903,956,171,571,518,421,165,719,812,1478,507,271,76,1662,301,363,41,136,166,69,134,5400,688,15701,2187,136434,26140,138854,28743,22655,5043,28477,6307,3672,252,75949,13666,24968,4031,363,92,464,61,1348,221,74838,17260,12213,3306,6461,1576,158832,93642,3071778,518141,2295198,534407,59367,7785,499,84,2065,499,3378,884,252,42,10,11,273,325
25739,47668,1945166,10934502,1305327,1929314,46738,410519,402721,977413,89889,281242,3194,49845,459040,3310958,14305,55440,2560694,67121470,301773,4349446,95203,335085,34542,31872,24551,36117,20812,48130,33871,41009,47301,105677,140282,4087340,4981,45121,1763,5246,333,4857,37,2114,1493,6249,1291,2202,1038,14790,370,1410,1738,3461,213,393,368,1446,4922,26804,2838,9074,3795,16935,1672,40845,1614,12659,26739,219048,4535,11718,191307,1626887,168934,1733530,21128,173557,127,1959,2276,28295,1104,1292,4063,29400,218,987,1721,9023,1103,1415,412,893,1933,2949,594,299,631,602,357,231,559,1250,614,1163,196,146,3337,944,394,57,156,188,109,225,951,4092,2841,10756,21642,134962,25242,120513,4082,21252,4684,30083,592,1585,12721,69291,4305,18760,55,488,63,333,221,983,13288,78490,2180,14156,1165,6291,37750,316734,220063,4433250,193777,1790796,14758,37443,100,520,302,3120,462,6205,25,363,5,34,257,369
